date,couverture_facebook,visites_facebook,interactions_facebook,couverture_instagram,interactions_instagram,visites_instagram,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers
2024-11-30,407,8,16,79,19,6,11,9,20,209.406,0.454545,6,8
2024-12-01,176,6,4,35,3,8,8,8,15,28.7606,0.5,4,7
2024-12-02,184,5,5,75,5,2,13,12,18,68.2086,0.461538,7,11
2024-12-03,208,12,15,23,3,1,6,6,12,22.7995,0.333333,4,5
2024-12-04,113,6,3,59,14,0,19,18,41,46.1824,0.368421,12,18
2024-12-05,494,19,16,28,4,1,8,8,16,109.892,0.25,6,8
2024-12-06,205,6,23,96,21,1,9,8,22,197.74,0.333333,6,7
2024-12-07,83,3,2,88,13,3,9,8,19,66.0487,0.444444,5,7
2024-12-08,95,9,6,41,5,2,7,7,13,355.264,0.571429,3,1
2024-12-09,107,0,2,238,26,6,4,11,213.96971816666667,0.5,3,4,33
2024-12-10,127,18,11,160,11,7,7,9,190.60805014285714,0.42857142857142855,4,5,31
2024-12-11,60,11,5,201,33,7,6,13,181.90304885714286,0.42857142857142855,4,5,45
2024-12-12,82,2,4,144,5,2,2,5,35.015175,0,2,2,18
2024-12-13,101,15,12,127,18,5,5,29,89.522061,0.2,4,5,71
2024-12-14,110,9,9,71,9,4,3,4,10.76966125,0.5,2,1,12
2024-12-15,67,5,3,66,5,15,15,28,57.5409796,0.2,12,13,86
2024-12-16,101,6,1,127,7,10,10,28,57.5409797,0.3,12,13,86
2024-12-17,233,9,9,24,2,6,6,21,110.017825,0.33333333333333331,4,4,39
2024-12-18,57,9,10,72,11,14,10,26,163.50509971428571,0.42857142857142855,8,6,75
2024-12-19,81,11,4,26,4,7,5,89,1144.3339962857142,0.2857142857142857,5,2,119
2024-12-20,135,9,6,132,9,19,16,28,162.40912289473684,0.26315789473684209,14,14,91
2024-12-21,127,11,5,94,8,19,16,28,162.40912289473685,0.26315789473684210,14,14,91
2024-12-22,73,6,4,28,2,3,3,4,325.12193733333334,0,3,3,17
2024-12-23,58,3,1,16,2,3,3,4,325.12193733333335,0,3,3,17
2024-12-24,112,0,7,12,1,11,7,32,267.3435970909091,0.18181818181818182,9,6,78
2024-12-25,38,9,3,94,16,11,11,21,51.691769090909091,0.18181818181818182,9,10,71
2024-12-26,109,3,11,41,6,2,1,2,4.885395,1,0,0,6
2024-12-27,32,12,1,119,35,3,3,4,51.898760666666668,0,3,2,14
2024-12-28,67,0,2,46,7,2,2,4,22.4234375,0,2,1,9
2024-12-29,30,3,1,22,4,3,2,4,14.857516333333335,0.66666666666666663,1,1,10
2024-12-30,18,6,0,98,2,6,6,10,81.458033833333332,0.5,3,5,31
2024-12-31,47,9,3,17,1,4,4,7,551.78817875,0.25,3,1,15
2025-01-01,11,0,0,86,30,2,2,2,19.1087845,0.5,1,1,6
2025-01-02,37,0,1,125,2,2,2,2,0,1,0,1,5
2025-01-03,13,6,1,108,26,3,2,5,105.25493333333334,0.33333333333333331,2,1,17
2025-01-04,75,3,9,30,3,5,5,30,240.8821096,0.2,4,4,73
2025-01-05,27,11,1,10,0,12,10,20,92.52490633333332,0.5,6,9,62
2025-01-06,15,3,1,182,30,1,1,2,9.84594,0,1,1,4
2025-01-07,47,2,1,55,6,3,2,6,18.345915333333334,0.66666666666666663,1,2,19
2025-01-08,26,6,0,91,11,19,18,34,49.240549,0.31578947368421051,13,18,119
2025-01-09,35,0,2,27,3,2,2,11,314.06973700000003,0.5,1,2,29
2025-01-10,12,0,1,82,6,9,7,19,58.269586333333336,0.44444444444444442,5,6,51
2025-01-11,56,3,2,36,2,11,11,13,37.136276181818182,0.36363636363636365,7,11,52
2025-01-12,21,0,1,108,0,2,1,5,20.528524,0,2,1,10
2025-01-13,12,0,0,89,15,2,1,5,20.528525,0,2,1,10
2025-01-14,70,5,7,39,8,3,3,3,2.3122513333333332,1,0,2,10
2025-01-15,20,3,3,92,3,6,5,23,66.805487166666666,0.33333333333333331,4,4,63
2025-01-16,31,0,1,13,2,2,2,6,60.4883775,0,2,2,19
2025-01-17,22,3,4,104,27,3,3,10,537.46455966666667,0.33333333333333331,2,2,21
2025-01-18,35,18,3,110,10,13,12,18,59.06759576923077,0.53846153846153844,6,10,62
2025-01-19,11,0,0,76,5,6,5,17,654.20869066666671,0.33333333333333331,4,3,43
2025-01-20,20,0,1,146,47,1,1,15,220.921407,0,1,1,34
2025-01-21,47,0,0,47,9,4,3,10,58.688188,0.5,2,1,26
2025-01-22,14,2,0,58,4,11,11,14,38.049665181818177,0.45454545454545453,6,11,53
2025-01-23,53,2,1,43,4,1,1,1,0,1,0,0,2
2025-01-24,29,3,2,111,12,5,3,25,642.3039542,0.2,4,1,56
2025-01-25,92,2,17,33,4,5,4,12,46.39154,0.6,2,3,28
2025-01-26,43,0,6,20,2,6,6,8,28.705209999999997,0.66666666666666663,2,3,25
2025-01-27,20,5,0,78,1,6,6,13,204.12225566666666,0.16666666666666666,5,6,39
2025-01-28,90,11,12,24,0,9,8,19,177.51802,0.33333333333333331,6,8,57
2025-01-29,48,3,5,251,21,5,4,18,558.82099799999992,0,5,2,51
2025-01-30,95,3,12,146,7,11,11,15,142.057239,0.27272727272727271,8,9,48
2025-01-31,30,3,1,101,8,7,4,21,158.648977,0.42857142857142855,4,3,52
2025-02-01,109,5,7,15,1,1,1,1,0,1,0,1,3
2025-02-02,37,9,0,13,2,5,5,5,9.4094906,0.6,2,5,17
2025-02-03,72,28,28,129,41,14,14,23,47.752443642857138,0.35714285714285715,9,14,79
2025-02-04,52,6,6,60,11,6,6,12,72.949281166666665,0.5,3,5,30
2025-02-05,22,5,4,73,7,4,4,20,2547.00432575,0,4,2,46
2025-02-06,12,5,0,17,7,4,4,4,111.41176225,0.75,1,3,16
2025-02-07,7,7,0,132,30,11,11,13,14.862900818181817,0.45454545454545453,6,10,47
2025-02-08,54,0,1,42,4,6,6,11,29.082248333333336,0.66666666666666663,2,6,33
2025-02-09,27,4,2,21,2,11,9,41,483.45584363636368,0.45454545454545453,6,6,95
2025-02-10,14,3,0,64,9,5,5,6,17.2063268,0.4,3,4,18
2025-02-11,63,3,7,38,6,1,1,2,393.572791,0,1,0,6
2025-02-12,27,11,3,115,17,7,7,7,25.136250999999998,0.14285714285714285,6,7,32
2025-02-13,29,6,1,43,3,1,1,1,45.960391,0,1,1,5
2025-02-14,21,0,0,207,27,11,9,25,44.775572636363634,0.63636363636363635,4,7,54
2025-02-15,54,0,2,48,1,6,6,20,469.8986528333333,0.5,3,5,58
2025-02-16,31,12,4,61,2,5,5,9,205.40287600000002,0,5,4,26
2025-02-17,7,0,0,71,14,7,7,9,16.943787,0.8571428571428571,1,5,28
2025-02-18,69,3,6,34,5,9,6,14,42.091301666666666,0.22222222222222221,7,4,38
2025-02-19,13,0,2,73,3,22,15,47,231.58354754545454,0.45454545454545453,12,8,126
2025-02-20,61,9,5,14,5,5,5,9,46.5179532,0.4,3,4,30
2025-02-21,16,3,1,71,10,4,4,11,454.85583475,0,4,3,30
2025-02-22,76,14,11,122,27,12,11,15,41.816889249999996,0.25,9,9,48
2025-02-23,37,6,5,70,11,4,4,8,185.419737,0.25,3,1,19
2025-02-24,607,3,7,141,16,6,4,14,274.7642735,0.33333333333333331,4,2,38
2025-02-25,733,23,32,60,2,4,4,9,66.35932525,0.25,3,4,25
2025-02-26,782,10,14,66,3,1,1,1,34.002816,0,1,1,4
2025-02-27,144,11,6,30,2,1,1,2,489.744331,0,1,1,7
2025-02-28,81,11,3,104,19,6,4,11,47.348216833333332,0.66666666666666663,2,3,32
2025-03-01,93,14,7,20,5,10,10,25,128.7259552,0.4,6,6,60
2025-03-02,56,8,6,28,4,10,7,99,774.8140721,0.3,7,5,212
2025-03-03,57,4,5,135,31,20,12,87,285.00409955,0.35,13,9,192
2025-03-04,85,3,4,39,4,3,3,3,18.180014333333332,0.33333333333333331,2,3,11
2025-03-05,1760,37,46,87,13,9,7,43,339.29005933333332,0.55555555555555558,4,5,72
2025-03-06,1238,39,47,83,7,17,14,42,339.45367605882353,0.17647058823529413,14,13,113
2025-03-07,418,16,23,128,17,7,6,29,254.40069114285714,0.2857142857142857,5,6,74
2025-03-08,259,6,28,99,2,17,15,47,165.04265005882351,0.17647058823529413,14,14,134
2025-03-09,248,9,13,81,4,24,24,49,165.04265005882352,0.41666666666666669,14,21,138
2025-03-10,169,2,2,78,0,10,6,19,207.344281,0.5,5,3,55
2025-03-11,149,6,2,39,4,13,11,36,280.41341515384613,0.15384615384615385,11,10,102
2025-03-12,87,10,3,114,31,11,10,15,144.34065536363636,0.54545454545454541,5,5,43
2025-03-13,75,15,2,44,9,18,16,28,18.734347333333332,0.61111111111111116,7,12,74
2025-03-14,84,6,5,67,4,3,3,8,82.726941666666661,0.33333333333333331,2,2,24
2025-03-15,524,7,16,100,2,3,2,17,260.27836066666669,0,3,2,44
2025-03-16,177,16,6,110,2,7,7,12,154.82690128571429,0.7142857142857143,2,5,28
2025-03-17,127,4,0,107,26,10,10,17,194.4836448,0.2,8,10,65
2025-03-18,154,0,6,39,5,7,6,12,28.434088,0.42857142857142855,4,4,38
2025-03-19,97,11,9,111,15,12,8,26,234.71343491666667,0.5,6,5,73
2025-03-20,65,3,10,69,2,18,14,37,135.80062933333332,0.27777777777777779,13,12,112
2025-03-21,29,11,2,28,2,4,4,7,96.49610175,0,4,4,25
2025-03-22,48,0,0,13,3,7,7,16,27.66524742857143,0.5714285714285714,3,4,41
2025-03-23,21,0,1,16,5,4,4,11,108.8454675,0.5,2,3,33
2025-03-24,90,9,8,125,16,35,25,64,159.89269142857142,0.42857142857142855,20,21,178
2025-03-25,271,18,19,65,3,6,6,18,106.32892249999999,0.16666666666666666,5,5,55
2025-03-26,190,7,6,66,3,13,11,28,199.52100569230771,0.30769230769230771,9,9,79
2025-03-27,400,14,11,56,0,18,16,25,23.303791388888886,0.3888888888888889,11,12,83
2025-03-28,114,16,3,116,17,3,3,2,51.03864866666666,0.66666666666666663,1,1,10
2025-03-29,102,3,3,47,4,7,6,10,33.584580142857142,0.7142857142857143,2,5,34
2025-03-30,89,13,2,69,4,4,4,11,67.563237,0.75,1,4,33
2025-03-31,58,0,3,66,2,18,18,20,22.17512383333333,0.44444444444444442,10,18,83
2025-04-01,69,7,5,56,10,6,6,10,77.265993333333327,0.33333333333333331,4,5,29
2025-04-02,72,0,1,118,10,12,9,19,74.025342250000008,0.41666666666666669,7,6,52
2025-04-03,42,4,1,82,4,6,6,6,11.413677333333334,0.66666666666666663,2,5,23
2025-04-04,33,0,2,19,1,6,6,11,164.1335635,0.16666666666666666,5,5,34
2025-04-05,20,11,5,8,1,2,2,3,447.564546,0.5,1,2,11
2025-04-06,11,4,0,74,21,3,3,8,56.043799333333332,0,3,3,21
